td,SP500
2012-02-01,0.0088995695
2012-02-02,0.00109517574
2012-02-03,0.014605403
2012-02-06,-4.2384863000000003e-4
2012-02-07,0.0020233393
2012-02-08,0.0021601915
2012-02-09,0.0014741421
2012-02-10,-0.0068863034
2012-02-13,0.0068000555
2012-02-14,-9.39548e-4
2012-02-15,-0.005383193499999999
2012-02-16,0.011025667
2012-02-17,0.0023488998
2012-02-20,0
2012-02-21,7.199049e-4
2012-02-22,-0.0033401249999999998
2012-02-23,0.0042719839999999995
2012-02-24,0.0016722679
2012-02-27,0.0013545752
2012-02-28,0.0033563375
2012-02-29,-0.00473696
2012-03-01,0.006157994
2012-03-02,-0.003245771
2012-03-05,-0.0038697124
2012-03-06,-0.015370189999999999
2012-03-07,0.0069006679999999996
2012-03-08,0.009817958
2012-03-09,0.0036312341999999997
2012-03-12,1.604557e-4
2012-03-13,0.018131495
2012-03-14,-0.0011962652
2012-03-15,0.005967139999999999
2012-03-16,0.0011193752
2012-03-19,0.0039738416999999995
2012-03-20,-0.0030004978
2012-03-21,-0.0018711685999999999
2012-03-22,-0.007206559
2012-03-23,0.003108859
2012-03-26,0.013885856
2012-03-27,-0.0028167963
2012-03-28,-0.004941523
2012-03-29,-0.0016079545000000002
2012-03-30,0.0036984682000000004
2012-04-02,0.0075047016
2012-04-03,-0.0039886236
2012-04-04,-0.010202527
2012-04-05,-6.290674e-4
2012-04-06,0
2012-04-09,-0.011358440000000001
2012-04-10,-0.01708144
2012-04-11,0.007448911700000001
2012-04-12,0.013779402000000001
2012-04-13,-0.012475014
2012-04-16,-5.0359964e-4
2012-04-17,0.015486717
2012-04-18,-0.0040552616
2012-04-19,-0.005934417
2012-04-20,0.0011693239
2012-04-23,-0.008407593
2012-04-24,0.0036797522999999998
2012-04-25,0.013644575999999999
2012-04-26,0.006680131000000001
2012-04-27,0.0024143457
2012-04-30,-0.003883481
2012-05-01,0.0056583879999999994
2012-05-02,-0.0024966598000000003
2012-05-03,-0.007658899
2012-05-04,-0.016147196
2012-05-07,3.5059451999999995e-4
2012-05-08,-0.0042786598
2012-05-09,-0.006702244
2012-05-10,0.0025174617999999998
2012-05-11,-0.0033873320000000003
2012-05-14,-0.011112869000000001
2012-05-15,-0.005745828
2012-05-16,-0.0044038296
2012-05-17,-0.015051365
2012-05-18,-0.0073877573
2012-05-21,0.016035914
2012-05-22,4.8637390000000005e-4
2012-05-23,0.0016937256
2012-05-24,0.0013792515
2012-05-25,-0.0021647811
2012-05-28,0
2012-05-29,0.011078954
2012-05-30,-0.014334917
2012-05-31,-0.002276659
2012-06-01,-0.024642586999999997
2012-06-04,1.0955334000000001e-4
2012-06-05,0.005726814
2012-06-06,0.023049355
2012-06-07,-1.0645389999999999e-4
2012-06-08,0.008114219
2012-06-11,-0.012620091
2012-06-12,0.011650681000000001
2012-06-13,-0.007023275
2012-06-14,0.010814667
2012-06-15,0.01033783
2012-06-18,0.0014446974000000001
2012-06-19,0.009815693
2012-06-20,-0.0016863346
2012-06-21,-0.02226168
2012-06-22,0.007174611
2012-06-25,-0.015954852
2012-06-26,0.004772663
2012-06-27,0.0089849234
2012-06-28,-0.0021098256000000003
2012-06-29,0.024920225
2012-07-02,0.0024592876
2012-07-03,0.0062321424000000005
2012-07-04,0
2012-07-05,-0.0046870112000000005
2012-07-06,-0.009432673499999999
2012-07-09,-0.0016388296999999999
2012-07-10,-0.008125901
2012-07-11,-1.4901160999999999e-5
2012-07-12,-0.0049871206000000005
2012-07-13,0.016497374
2012-07-16,-0.0023143291
2012-07-17,0.007409692
2012-07-18,0.006680488599999999
2012-07-19,0.0027171372999999998
2012-07-20,-0.010061681
2012-07-23,-0.0089090466
2012-07-24,-0.009040952
2012-07-25,-3.1387806e-4
2012-07-26,0.016541003999999998
2012-07-27,0.01908052
2012-07-30,-4.8333406e-4
2012-07-31,-0.0043168068
2012-08-01,-0.00303334
2012-08-02,-0.007370889
2012-08-03,0.019040227
2012-08-06,0.0023292303
2012-08-07,0.005106807
2012-08-08,6.2084198e-4
2012-08-09,4.1365623e-4
2012-08-10,0.0021884441
2012-08-13,-0.0012518764
2012-08-14,-1.2814999e-4
2012-08-15,0.0011396408
2012-08-16,0.0071004630000000004
2012-08-17,0.0018721819
2012-08-20,-2.115965e-5
2012-08-21,-0.0034975410000000003
2012-08-22,2.2637844e-4
2012-08-23,-0.008072257000000001
2012-08-24,0.006454706
2012-08-27,-4.889965000000001e-4
2012-08-28,-8.081794e-4
2012-08-29,8.443594e-4
2012-08-30,-0.007805824
2012-08-31,0.005073309000000001
2012-09-03,0
2012-09-04,-0.00116598606
2012-09-05,-0.0010676384
2012-09-06,0.020435572
2012-09-07,0.0040500164
2012-09-10,-0.006147802
2012-09-11,0.0031349660000000003
2012-09-12,0.0020927191
2012-09-13,0.016309738
2012-09-14,0.0039589405
2012-09-17,-0.0031247140000000002
2012-09-18,-0.0012797713
2012-09-19,0.0011855364
2012-09-20,-5.4073334e-4
2012-09-21,-7.534027e-5
2012-09-24,-0.0022326708000000002
2012-09-25,-0.010501861999999999
2012-09-26,-0.0057367086
2012-09-27,0.009649038300000001
2012-09-28,-0.0044777393
2012-10-01,0.002651453
2012-10-02,8.722544e-4
2012-10-03,0.0036244391999999998
2012-10-04,0.007174492
2012-10-05,-3.2156706e-4
2012-10-08,-0.0034567118
2012-10-09,-0.009890913999999999
2012-10-10,-0.006188035
2012-10-11,1.9538403e-4
2012-10-12,-0.0029661655
2012-10-15,0.008077978999999999
2012-10-16,0.01026988
2012-10-17,0.004117012
2012-10-18,-0.0024437308
2012-10-19,-0.016571283000000003
2012-10-22,4.389286e-4
2012-10-23,-0.014443219
2012-10-24,-0.0030853748
2012-10-25,0.0029954910000000003
2012-10-26,-7.289648e-4
2012-10-29,0
2012-10-30,0
2012-10-31,1.5592575e-4
2012-11-01,0.010925889
2012-11-02,-0.0093788505
2012-11-05,0.0021637678
2012-11-06,0.0078531504
2012-11-07,-0.023705006
2012-11-08,-0.012204826
2012-11-09,0.0016987324
2012-11-12,1.2981892e-4
2012-11-13,-0.003984689699999999
2012-11-14,-0.01385206
2012-11-15,-0.0015935302000000002
2012-11-16,0.0048398972
2012-11-19,0.019862056
2012-11-20,6.633997e-4
2012-11-21,0.0023201704
2012-11-22,0
2012-11-23,0.013026356999999999
2012-11-26,-0.0020295978
2012-11-27,-0.005226612
2012-11-28,0.0078560114
2012-11-29,0.0042696
2012-11-30,1.6248226e-4
2012-12-03,-0.004745245
2012-12-04,-0.0017098188
2012-12-05,0.0015848875
2012-12-06,0.0033066273
2012-12-07,0.002920866
2012-12-10,3.385544e-4
2012-12-11,0.0065488815
2012-12-12,4.4822692999999994e-4
2012-12-13,-0.00632143
2012-12-14,-0.00413543
2012-12-17,0.011870623
2012-12-18,0.011486650000000001
2012-12-19,-0.007589221
2012-12-20,0.0054881570000000005
2012-12-21,-0.009378671600000001
2012-12-24,-0.0024402738
2012-12-25,0
2012-12-26,-0.004787445
2012-12-27,-0.00121843815
2012-12-28,-0.011049926000000002
2012-12-31,0.016941905
2013-01-01,0
2013-01-02,0.025403380000000003
2013-01-03,-0.0020856261
2013-01-04,0.0048650503
2013-01-07,-0.0031231046
2013-01-08,-0.0032423735
2013-01-09,0.0026558638
2013-01-10,0.0075974464
2013-01-11,-4.750489999999999e-5
2013-01-14,-9.306668999999999e-4
2013-01-15,0.00112867355
2013-01-16,1.9693374999999998e-4
2013-01-17,0.005642891
2013-01-18,0.003403306
2013-01-21,0
2013-01-22,0.0044281483
2013-01-23,0.0015075206999999998
2013-01-24,6.556511e-6
2013-01-25,0.0054454803
2013-01-28,-0.0018496513
2013-01-29,0.005105971999999999
2013-01-30,-0.0038996340000000003
2013-01-31,-0.0025632977
2013-02-01,0.010052681
2013-02-04,-0.011538744
2013-02-05,0.010416508
2013-02-06,5.491972e-4
2013-02-07,-0.0018054247000000002
2013-02-08,0.0056579113
2013-02-11,-6.0611963e-4
2013-02-12,0.0015952586999999998
2013-02-13,5.922317500000001e-4
2013-02-14,6.906986e-4
2013-02-15,-0.0010451078399999999
